guests,bedrooms,beds,baths,rating,reviews,is_superhost_no,is_superhost_yes,wifi_yes,kitchen_no,kitchen_yes,parking_no,parking_yes,pool_no,pool_yes,shared_bath_no,shared_bath_yes
2,0,1,1.0,4.84,49,0,1,1,0,1,0,1,1,0,1,0
2,1,1,1.0,4.88,9,1,0,1,0,1,0,1,0,1,1,0
3,1,2,1.5,5.0,9,0,1,1,0,1,0,1,1,0,1,0
2,1,1,1.0,5.0,10,1,0,1,0,1,0,1,1,0,1,0
3,1,1,1.0,4.78,85,1,0,1,0,1,0,1,1,0,1,0
2,1,2,1.0,4.56,16,1,0,1,0,1,0,1,1,0,1,0
2,1,1,1.0,4.57,23,1,0,1,0,1,0,1,0,1,1,0
2,1,1,1.0,0.0,0,1,0,1,0,1,0,1,1,0,1,0
2,1,1,1.0,4.87,30,1,0,1,0,1,0,1,1,0,1,0
2,1,1,1.0,0.0,0,0,1,1,1,0,0,1,1,0,1,0
4,1,1,1.0,4.92,24,0,1,1,0,1,0,1,1,0,1,0
2,1,1,1.0,4.76,38,0,1,1,0,1,1,0,1,0,1,0
4,2,2,2.0,0.0,0,1,0,1,0,1,0,1,1,0,1,0
2,1,2,1.0,5.0,12,0,1,1,0,1,0,1,0,1,1,0
6,0,3,2.5,5.0,6,1,0,1,0,1,0,1,0,1,1,0
2,1,1,1.0,4.5,8,0,1,1,0,1,0,1,0,1,1,0
4,2,0,3.0,5.0,3,0,1,1,0,1,0,1,0,1,1,0
1,1,1,1.0,5.0,3,1,0,1,0,1,0,1,1,0,1,0
2,1,1,1.0,4.83,103,0,1,1,0,1,1,0,1,0,1,0
2,1,1,1.5,4.55,22,1,0,1,0,1,0,1,0,1,1,0
2,1,1,1.5,4.83,18,0,1,1,0,1,0,1,0,1,0,1
3,2,3,1.5,0.0,0,1,0,1,0,1,0,1,1,0,1,0
2,0,1,1.0,0.0,0,1,0,1,0,1,0,1,0,1,1,0
2,1,1,1.0,4.5,4,1,0,1,0,1,0,1,1,0,1,0
2,1,1,1.0,0.0,0,1,0,1,0,1,0,1,1,0,0,1
2,1,1,1.0,4.62,43,1,0,1,0,1,0,1,1,0,1,0
3,2,3,1.5,0.0,0,1,0,1,0,1,0,1,1,0,1,0
2,1,0,1.0,0.0,0,0,1,1,1,0,1,0,1,0,1,0
2,1,1,1.0,4.67,3,1,0,1,0,1,0,1,0,1,1,0
2,1,1,1.0,0.0,0,0,1,1,1,0,0,1,1,0,1,0
4,2,1,2.0,0.0,0,0,1,1,0,1,0,1,0,1,1,0
1,1,1,1.0,4.77,22,1,0,1,0,1,0,1,1,0,1,0
